month,spec,n,log_loss,brier,auc,ece,mean_pred,realised,std_pred
2026-01,OLD,478,0.696862717814402,0.2518434495659341,0.4910446977257209,0.02692452206956983,0.49278143589437895,0.50418410041841,0.030066910727032464
2026-01,NEW,478,0.6963285813984448,0.2515800245426342,0.4963846140378521,0.03352204457034562,0.4865954244258142,0.50418410041841,0.0331586141631683
2026-02,OLD,487,0.6918903344142731,0.24936971456299908,0.5547801696461762,0.030990934554974446,0.49056964039369083,0.5215605749486653,0.020856921016448888
2026-02,NEW,487,0.6898855502091421,0.2483711321156863,0.557686458720557,0.025383980285152197,0.49617659466351305,0.5215605749486653,0.025326334814159707
2026-03,OLD,466,0.6930791151693495,0.2499663582181063,0.5124704840613932,0.014448677489930254,0.5048646272310999,0.51931330472103,0.027575019966247578
2026-03,NEW,466,0.6926047335094367,0.24972976723687437,0.5182445395513577,0.013934332604794882,0.5053789721162352,0.51931330472103,0.03191065533630249
2026-04,OLD,507,0.6926262888716211,0.24973613012508358,0.5246342981637099,0.014050906513843256,0.5170094863955002,0.5029585798816568,0.02234631056688792
2026-04,NEW,507,0.693063237539168,0.24995295726586764,0.5178804855275444,0.01319171136733096,0.5161502912489877,0.5029585798816568,0.02577186406811012
2026-05,OLD,243,0.6915955463891272,0.2492231628890493,0.5093643198906357,0.03534862266962891,0.5119764802110295,0.5473251028806584,0.01974947194367104
2026-05,NEW,243,0.6911036072797723,0.24897552029812048,0.513192071086808,0.032160552921163175,0.5151645499594952,0.5473251028806584,0.02528711841069757
2026-08,OLD,298,0.6880021625945962,0.24743173809429347,0.5129660391288299,0.062157697307724843,0.5150235107459663,0.5771812080536913,0.016435516387471188
2026-08,NEW,298,0.6867425372648546,0.24680264058068638,0.5411590992986341,0.06295845967394038,0.5142227483797509,0.5771812080536913,0.021324254846836227
2026-09,OLD,288,0.6935348500833337,0.25019035150022223,0.47794722827402564,0.018104813673303043,0.5132874559226536,0.53125,0.015247019936734912
2026-09,NEW,288,0.6940099901145896,0.25042796442488524,0.4773662551440329,0.028756291155321904,0.5124819527012453,0.53125,0.02096776067048687
