segment,n,n_pos,sample_label,market_logloss,market_brier,market_auc,market_ece,model_logloss,model_brier,model_auc,model_ece,blend_logloss,blend_brier,blend_auc,blend_ece,blend_weight,logloss_improvement,brier_improvement,verdict,p_raw,q_value,significant_after_fdr
new_format,133,69,EARLY_SIGNAL,0.8010224913162454,0.292714224731812,0.5860507246376812,0.20868493984962408,0.7657063899467733,0.2811260893990847,0.4780344202898551,0.132691529889091,0.7684234399080472,0.28136960274842887,0.5656702898550725,0.16895542867820107,0.2,0.03259905,0.01134462,MODEL_ADDS_INFORMATION_UNCONFIRMED,0.006,0.012,True
standard,23,13,INSUFFICIENT_SAMPLE,0.6942780306098747,0.2495622395777826,0.4846153846153846,0.12360447826086955,0.7177109981566897,0.26221083820808316,0.3076923076923077,0.09847503547399653,0.6960976786506968,0.2508104602639081,0.49230769230769234,0.15242709332937135,0.2,-0.00181965,-0.00124822,INSUFFICIENT_SAMPLE,0.8505,0.8505,False
