target,comparison,mean_diff,ci_lo,ci_hi,p_value,significant,direction
btts,canonical_vs_old,0.000649593330527242,-0.0008924192219030549,0.0022661368409365155,0.516,False,alt better
btts,canonical_full_feature_only_vs_old,-0.006766591796451862,-0.00838723083264931,-0.0051860729193869875,0.0,True,old better
over15,canonical_vs_old,-0.00031656485869460904,-0.0017252456581939423,0.0011001721408083827,0.7243333333333334,False,old better
over15,canonical_full_feature_only_vs_old,-0.003353809533995493,-0.004940509647106761,-0.0017677477572944442,0.0,True,old better
over25,canonical_vs_old,-0.00033600198411751344,-0.00204709818964844,0.0012853929503903632,0.7346666666666667,False,old better
over25,canonical_full_feature_only_vs_old,-0.003869406420180065,-0.0061751631352120065,-0.001697331648090705,0.005333333333333333,True,old better
over35,canonical_vs_old,0.001046974012073214,-0.0004260773063893817,0.0025521168178722384,0.25633333333333336,False,alt better
over35,canonical_full_feature_only_vs_old,-0.0021489947973706786,-0.0038422864112738833,-0.0004211847718820101,0.035666666666666666,True,old better
