model_type,market,n,claimed,realised,gap_pp,brier,logloss,ece,interpretable,calc_version,n_fit,n_test,brier_raw_test,logloss_raw_test,gap_pp_test_raw,brier_platt,logloss_platt,gap_pp_platt,brier_delta_platt,brier_delta_platt_lo,brier_delta_platt_hi,platt_helps,brier_isotonic,logloss_isotonic,gap_pp_isotonic,brier_delta_isotonic,brier_delta_isotonic_lo,brier_delta_isotonic_hi,isotonic_helps
new_format,OU25,736,0.483400576567048,0.5543478260869565,-7.094724951990855,0.25615923314017586,0.7097960737498994,0.08405950329825194,True,1.0.0,441.0,295.0,0.23993263116087188,0.6726759004313917,-5.785738146826835,0.24557940919487078,0.684275709698345,-1.2266904299135017,0.005646778033998871,-0.0031756185073040146,0.014658679002280484,False,0.23967185140779879,0.6722930933931027,0.5466204585567236,-0.00026077975307310376,-0.008854550276949062,0.008341621739578878,False
standard,OU25,514,0.5047318200287394,0.5330739299610895,-2.834210993235009,0.25210846834843526,0.697506945152991,0.048132640391896235,True,1.0.0,308.0,206.0,0.2574263847047492,0.7082102396098308,-2.689329355882719,0.2544163931897718,0.7022197168195167,-0.16905294571375462,-0.0030099915149774245,-0.006756256884538634,0.0009164198954830755,False,0.2641741913495722,0.7264717026202216,2.1678712437203984,0.006747806644823004,-0.0035000770572551736,0.017841075307178534,False
unknown,OU25,3,0.4314772486772487,1.0,-56.85227513227513,0.3245551112706812,0.8442957473289424,0.5685227513227513,False,1.0.0,,,,,,,,,,,,,,,,,,,
