prop_market,match_market,segment,n,p_prop,p_match,p_joint,independent_joint,dependency_ratio,excess_pp,joint_ci_lo,joint_ci_hi,independence_within_ci,p_prop_given_match,calc_version
sot,O35,player_rate=mid,21929,0.20671,0.26257,0.06512,0.05428,1.1997,1.084,0.06185,0.06838,False,0.248,1.0.0
sot,O35,player_rate=high,22118,0.45443,0.27335,0.14852,0.12422,1.1956,2.43,0.14383,0.15321,False,0.54333,1.0.0
sot,U25,ALL,67052,0.24782,0.49093,0.10516,0.12166,0.8643,-1.651,0.10284,0.10748,False,0.2142,1.0.0
sot,U25,player_rate=low,23005,0.08837,0.48811,0.03825,0.04314,0.8868,-0.488,0.03577,0.04073,False,0.07837,1.0.0
sot,U25,player_rate=mid,21929,0.20671,0.49934,0.08933,0.10322,0.8655,-1.389,0.08556,0.09311,False,0.1789,1.0.0
sot,U25,player_rate=high,22118,0.45443,0.48553,0.19043,0.22064,0.8631,-3.021,0.18526,0.19561,False,0.39222,1.0.0
sot,BTTS,ALL,67052,0.24782,0.54655,0.1493,0.13545,1.1023,1.386,0.1466,0.152,False,0.27317,1.0.0
sot,BTTS,player_rate=low,23005,0.08837,0.54575,0.05394,0.04823,1.1185,0.572,0.05103,0.05686,False,0.09885,1.0.0
sot,BTTS,player_rate=mid,21929,0.20671,0.54056,0.12299,0.11174,1.1006,1.125,0.11864,0.12733,False,0.22752,1.0.0
sot,BTTS,player_rate=high,22118,0.45443,0.55331,0.27457,0.25144,1.092,2.314,0.26869,0.28045,False,0.49624,1.0.0
sot,BTTS_NO,ALL,67052,0.24782,0.45345,0.09852,0.11238,0.8767,-1.386,0.09626,0.10078,False,0.21727,1.0.0
sot,BTTS_NO,player_rate=low,23005,0.08837,0.45425,0.03443,0.04014,0.8576,-0.572,0.03207,0.03678,False,0.07579,1.0.0
sot,BTTS_NO,player_rate=mid,21929,0.20671,0.45944,0.08372,0.09497,0.8816,-1.125,0.08006,0.08739,False,0.18223,1.0.0
sot,BTTS_NO,player_rate=high,22118,0.45443,0.44669,0.17985,0.20299,0.886,-2.314,0.17479,0.18492,False,0.40263,1.0.0
sot,HOME,ALL,67052,0.24782,0.43304,0.10909,0.10732,1.0166,0.178,0.10673,0.11145,True,0.25193,1.0.0
sot,HOME,player_rate=low,23005,0.08837,0.43212,0.03682,0.03819,0.9641,-0.137,0.03438,0.03925,True,0.0852,1.0.0
sot,HOME,player_rate=mid,21929,0.20671,0.43572,0.09298,0.09007,1.0323,0.291,0.08914,0.09683,True,0.2134,1.0.0
sot,HOME,player_rate=high,22118,0.45443,0.43132,0.20024,0.196,1.0216,0.424,0.19497,0.20552,True,0.46426,1.0.0
sot,DRAW,ALL,67052,0.24782,0.26775,0.06329,0.06635,0.9539,-0.306,0.06145,0.06514,False,0.2364,1.0.0
sot,DRAW,player_rate=low,23005,0.08837,0.26555,0.02343,0.02347,0.9984,-0.004,0.02147,0.02538,True,0.08823,1.0.0
sot,DRAW,player_rate=mid,21929,0.20671,0.26969,0.0534,0.05575,0.9579,-0.235,0.05042,0.05638,True,0.198,1.0.0
sot,DRAW,player_rate=high,22118,0.45443,0.26811,0.11457,0.12184,0.9403,-0.727,0.11037,0.11876,False,0.42732,1.0.0
sot,AWAY,ALL,67052,0.24782,0.29922,0.07543,0.07415,1.0173,0.128,0.07344,0.07743,True,0.25211,1.0.0
sot,AWAY,player_rate=low,23005,0.08837,0.30233,0.02812,0.02672,1.0527,0.141,0.02599,0.03026,True,0.09303,1.0.0
sot,AWAY,player_rate=mid,21929,0.20671,0.29459,0.06033,0.06089,0.9907,-0.056,0.05718,0.06348,True,0.2048,1.0.0
sot,AWAY,player_rate=high,22118,0.45443,0.30057,0.13961,0.13659,1.0222,0.303,0.13505,0.14418,True,0.4645,1.0.0
sot2,O15,ALL,67052,0.06185,0.74475,0.05227,0.04606,1.1349,0.621,0.05059,0.05396,False,0.07019,1.0.0
sot2,O25,ALL,67052,0.06185,0.50907,0.04021,0.03148,1.2771,0.872,0.03872,0.04169,False,0.07898,1.0.0
sot2,O35,ALL,67052,0.06185,0.26781,0.02409,0.01656,1.4542,0.752,0.02293,0.02525,False,0.08994,1.0.0
sot2,U25,ALL,67052,0.06185,0.49093,0.02164,0.03036,0.7127,-0.872,0.02054,0.02274,False,0.04408,1.0.0
sot2,BTTS,ALL,67052,0.06185,0.54655,0.0397,0.0338,1.1745,0.59,0.03822,0.04118,False,0.07264,1.0.0
sot2,BTTS_NO,ALL,67052,0.06185,0.45345,0.02215,0.02805,0.7897,-0.59,0.02103,0.02326,False,0.04884,1.0.0
sot2,HOME,ALL,67052,0.06185,0.43304,0.02875,0.02678,1.0736,0.197,0.02749,0.03002,False,0.0664,1.0.0
sot2,DRAW,ALL,67052,0.06185,0.26775,0.01441,0.01656,0.87,-0.215,0.0135,0.01531,False,0.05381,1.0.0
sot2,AWAY,ALL,67052,0.06185,0.29922,0.01869,0.01851,1.0098,0.018,0.01766,0.01971,True,0.06245,1.0.0
sot3,O15,ALL,67052,0.01469,0.74475,0.01303,0.01094,1.1914,0.209,0.01218,0.01389,False,0.0175,1.0.0
sot3,O25,ALL,67052,0.01469,0.50907,0.01089,0.00748,1.4558,0.341,0.0101,0.01167,False,0.02139,1.0.0
sot3,O35,ALL,67052,0.01469,0.26781,0.00722,0.00393,1.8348,0.328,0.00658,0.00786,False,0.02695,1.0.0
sot3,U25,ALL,67052,0.01469,0.49093,0.0038,0.00721,0.5273,-0.341,0.00334,0.00427,False,0.00775,1.0.0
sot3,BTTS,ALL,67052,0.01469,0.54655,0.00989,0.00803,1.2315,0.186,0.00914,0.01064,False,0.01809,1.0.0
sot3,BTTS_NO,ALL,67052,0.01469,0.45345,0.0048,0.00666,0.7209,-0.186,0.00428,0.00533,False,0.01059,1.0.0
sot3,HOME,ALL,67052,0.01469,0.43304,0.00735,0.00636,1.1558,0.099,0.00671,0.008,False,0.01698,1.0.0
sot3,DRAW,ALL,67052,0.01469,0.26775,0.00264,0.00393,0.6711,-0.129,0.00225,0.00303,False,0.00986,1.0.0
sot3,AWAY,ALL,67052,0.01469,0.29922,0.0047,0.0044,1.0688,0.03,0.00418,0.00522,True,0.0157,1.0.0
sot4,O15,ALL,67052,0.00355,0.74475,0.00334,0.00264,1.2637,0.07,0.0029,0.00378,False,0.00449,1.0.0
sot4,O25,ALL,67052,0.00355,0.50907,0.00279,0.00181,1.5434,0.098,0.00239,0.00319,False,0.00548,1.0.0
sot4,O35,ALL,67052,0.00355,0.26781,0.00197,0.00095,2.071,0.102,0.00163,0.0023,False,0.00735,1.0.0
sot4,U25,ALL,67052,0.00355,0.49093,0.00076,0.00174,0.4365,-0.098,0.00055,0.00097,False,0.00155,1.0.0
sot4,BTTS,ALL,67052,0.00355,0.54655,0.00237,0.00194,1.2223,0.043,0.002,0.00274,False,0.00434,1.0.0
sot4,BTTS_NO,ALL,67052,0.00355,0.45345,0.00118,0.00161,0.732,-0.043,0.00092,0.00144,False,0.0026,1.0.0
sot4,HOME,ALL,67052,0.00355,0.43304,0.00176,0.00154,1.1449,0.022,0.00144,0.00208,True,0.00406,1.0.0
sot4,DRAW,ALL,67052,0.00355,0.26775,0.00075,0.00095,0.7846,-0.02,0.00054,0.00095,True,0.00279,1.0.0
sot4,AWAY,ALL,67052,0.00355,0.29922,0.00104,0.00106,0.983,-0.002,0.0008,0.00129,True,0.00349,1.0.0
cards,O15,ALL,67052,0.15321,0.74475,0.1132,0.1141,0.9921,-0.091,0.1108,0.11559,True,0.15199,1.0.0
cards,O15,player_rate=low,22659,0.10177,0.74968,0.07644,0.07629,1.0019,0.014,0.07298,0.0799,True,0.10196,1.0.0
cards,O15,player_rate=mid,22321,0.15774,0.74128,0.11568,0.11693,0.9893,-0.126,0.11148,0.11987,True,0.15605,1.0.0
cards,O15,player_rate=high,22072,0.20143,0.7432,0.14842,0.1497,0.9914,-0.128,0.14373,0.15311,True,0.19971,1.0.0
cards,O25,ALL,67052,0.15321,0.50907,0.0771,0.07799,0.9886,-0.089,0.07509,0.07912,True,0.15146,1.0.0
cards,O25,player_rate=low,22659,0.10177,0.51459,0.05239,0.05237,1.0003,0.002,0.04948,0.05529,True,0.1018,1.0.0
cards,O25,player_rate=mid,22321,0.15774,0.50455,0.07845,0.07959,0.9856,-0.114,0.07492,0.08197,True,0.15548,1.0.0
cards,O25,player_rate=high,22072,0.20143,0.50797,0.10112,0.10232,0.9883,-0.12,0.09715,0.1051,True,0.19907,1.0.0
cards,O35,ALL,67052,0.15321,0.26781,0.04015,0.04103,0.9785,-0.088,0.03866,0.04163,True,0.14991,1.0.0
cards,O35,player_rate=low,22659,0.10177,0.27724,0.02833,0.02821,1.0042,0.012,0.02617,0.03049,True,0.1022,1.0.0
cards,O35,player_rate=mid,22321,0.15774,0.26177,0.04028,0.04129,0.9754,-0.102,0.0377,0.04286,True,0.15386,1.0.0
cards,O35,player_rate=high,22072,0.20143,0.26423,0.05215,0.05322,0.9798,-0.108,0.04921,0.05508,True,0.19736,1.0.0
cards,U25,ALL,67052,0.15321,0.49093,0.07611,0.07522,1.0118,0.089,0.0741,0.07811,True,0.15502,1.0.0
cards,U25,player_rate=low,22659,0.10177,0.48541,0.04938,0.0494,0.9997,-0.002,0.04656,0.05221,True,0.10174,1.0.0
cards,U25,player_rate=mid,22321,0.15774,0.49545,0.0793,0.07815,1.0146,0.114,0.07575,0.08284,True,0.16005,1.0.0
cards,U25,player_rate=high,22072,0.20143,0.49203,0.10031,0.09911,1.0121,0.12,0.09634,0.10427,True,0.20387,1.0.0
cards,BTTS,ALL,67052,0.15321,0.54655,0.08575,0.08374,1.0241,0.202,0.08363,0.08787,True,0.1569,1.0.0
cards,BTTS,player_rate=low,22659,0.10177,0.54852,0.05781,0.05582,1.0357,0.199,0.05477,0.06085,True,0.1054,1.0.0
cards,BTTS,player_rate=mid,22321,0.15774,0.542,0.08723,0.0855,1.0202,0.173,0.08353,0.09093,True,0.16094,1.0.0
cards,BTTS,player_rate=high,22072,0.20143,0.54911,0.11295,0.11061,1.0212,0.234,0.10877,0.11712,True,0.20569,1.0.0
cards,BTTS_NO,ALL,67052,0.15321,0.45345,0.06746,0.06947,0.9709,-0.202,0.06556,0.06935,False,0.14876,1.0.0
cards,BTTS_NO,player_rate=low,22659,0.10177,0.45148,0.04396,0.04595,0.9567,-0.199,0.04129,0.04663,True,0.09736,1.0.0
cards,BTTS_NO,player_rate=mid,22321,0.15774,0.458,0.07052,0.07225,0.9761,-0.173,0.06716,0.07388,True,0.15397,1.0.0
cards,BTTS_NO,player_rate=high,22072,0.20143,0.45089,0.08848,0.09082,0.9742,-0.234,0.08474,0.09223,True,0.19624,1.0.0
cards,HOME,ALL,67052,0.15321,0.43304,0.06326,0.06635,0.9536,-0.308,0.06142,0.06511,False,0.14609,1.0.0
cards,HOME,player_rate=low,22659,0.10177,0.43272,0.04148,0.04404,0.942,-0.255,0.03889,0.04408,True,0.09587,1.0.0
cards,HOME,player_rate=mid,22321,0.15774,0.43121,0.0638,0.06802,0.9379,-0.422,0.06059,0.067,False,0.14795,1.0.0
cards,HOME,player_rate=high,22072,0.20143,0.43521,0.08509,0.08767,0.9706,-0.258,0.0814,0.08877,True,0.1955,1.0.0
cards,DRAW,ALL,67052,0.15321,0.26775,0.04283,0.04102,1.0441,0.181,0.0413,0.04437,False,0.15997,1.0.0
cards,DRAW,player_rate=low,22659,0.10177,0.26886,0.02891,0.02736,1.0565,0.155,0.02673,0.03109,True,0.10752,1.0.0
cards,DRAW,player_rate=mid,22321,0.15774,0.26858,0.04368,0.04237,1.031,0.131,0.041,0.04636,True,0.16264,1.0.0
cards,DRAW,player_rate=high,22072,0.20143,0.26577,0.05627,0.05353,1.0511,0.274,0.05323,0.05931,True,0.21173,1.0.0
cards,AWAY,ALL,67052,0.15321,0.29922,0.04711,0.04584,1.0277,0.127,0.04551,0.04872,True,0.15745,1.0.0
cards,AWAY,player_rate=low,22659,0.10177,0.29842,0.03138,0.03037,1.0332,0.101,0.02911,0.03365,True,0.10515,1.0.0
cards,AWAY,player_rate=mid,22321,0.15774,0.30021,0.05027,0.04736,1.0615,0.291,0.0474,0.05313,False,0.16744,1.0.0
cards,AWAY,player_rate=high,22072,0.20143,0.29902,0.06008,0.06023,0.9974,-0.016,0.05694,0.06321,True,0.20091,1.0.0
