segment,league,model_type,market_a,market_b,label_a,label_b,n,k_joint,p_a,p_b,p_joint,independent_joint,dependency_ratio,excess_pp,phi,joint_ci_lo,joint_ci_hi,frechet_lo,frechet_hi,frechet_ok,independence_within_ci,sample_status,calc_version
league=Argentina Primera Division,Argentina Primera Division,ALL,O25,1X,Over 2.5,Home or draw,1595,349,0.327273,0.746708,0.218809,0.244377,0.8954,-2.557,-0.1253,0.199207,0.239761,0.073981,0.327273,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O25,X2,Over 2.5,Draw or away,1595,224,0.327273,0.566144,0.140439,0.185284,0.758,-4.484,-0.1928,0.12425,0.158356,0.0,0.327273,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O25,12,Over 2.5,Home or away,1595,471,0.327273,0.687147,0.295298,0.224885,1.3131,7.041,0.3237,0.273423,0.318156,0.01442,0.327273,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,BTTS,Under 2.5,BTTS Yes,1595,221,0.672727,0.400627,0.138558,0.269513,0.5141,-13.095,-0.5695,0.122469,0.156384,0.073354,0.400627,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,BTTS_NO,Under 2.5,BTTS No,1595,852,0.672727,0.599373,0.534169,0.403215,1.3248,13.095,0.5695,0.509635,0.558539,0.2721,0.599373,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,HOME,Under 2.5,Home win,1595,394,0.672727,0.433856,0.247022,0.291867,0.8464,-4.484,-0.1928,0.226481,0.268779,0.106583,0.433856,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,DRAW,Under 2.5,Draw,1595,448,0.672727,0.312853,0.280878,0.210465,1.3346,7.041,0.3237,0.259368,0.30344,0.0,0.312853,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,AWAY,Under 2.5,Away win,1595,231,0.672727,0.253292,0.144828,0.170396,0.8499,-2.557,-0.1253,0.128409,0.162953,0.0,0.253292,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,1X,Under 2.5,Home or draw,1595,842,0.672727,0.746708,0.5279,0.502331,1.0509,2.557,0.1253,0.503362,0.552303,0.419436,0.672727,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,X2,Under 2.5,Draw or away,1595,679,0.672727,0.566144,0.425705,0.380861,1.1177,4.484,0.1928,0.401646,0.450121,0.238871,0.566144,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U25,12,Under 2.5,Home or away,1595,625,0.672727,0.687147,0.39185,0.462263,0.8477,-7.041,-0.3237,0.368179,0.416039,0.359875,0.672727,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,BTTS,Over 3.5,BTTS Yes,1595,200,0.144201,0.400627,0.125392,0.057771,2.1705,6.762,0.3928,0.110034,0.14255,0.0,0.144201,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,BTTS_NO,Over 3.5,BTTS No,1595,30,0.144201,0.599373,0.018809,0.08643,0.2176,-6.762,-0.3928,0.013206,0.026724,0.0,0.144201,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,HOME,Over 3.5,Home win,1595,111,0.144201,0.433856,0.069592,0.062562,1.1124,0.703,0.0404,0.058111,0.083142,0.0,0.144201,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,DRAW,Over 3.5,Draw,1595,51,0.144201,0.312853,0.031975,0.045114,0.7088,-1.314,-0.0807,0.024403,0.041796,0.0,0.144201,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,AWAY,Over 3.5,Away win,1595,68,0.144201,0.253292,0.042633,0.036525,1.1672,0.611,0.04,0.033768,0.053696,0.0,0.144201,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,1X,Over 3.5,Home or draw,1595,162,0.144201,0.746708,0.101567,0.107676,0.9433,-0.611,-0.04,0.087687,0.117363,0.0,0.144201,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,X2,Over 3.5,Draw or away,1595,119,0.144201,0.566144,0.074608,0.081638,0.9139,-0.703,-0.0404,0.06271,0.088551,0.0,0.144201,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,O35,12,Over 3.5,Home or away,1595,179,0.144201,0.687147,0.112226,0.099087,1.1326,1.314,0.0807,0.097657,0.128658,0.0,0.144201,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,BTTS,Under 3.5,BTTS Yes,1595,439,0.855799,0.400627,0.275235,0.342856,0.8028,-6.762,-0.3928,0.253876,0.297675,0.256426,0.400627,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,BTTS_NO,Under 3.5,BTTS No,1595,926,0.855799,0.599373,0.580564,0.512943,1.1318,6.762,0.3928,0.556181,0.60456,0.455172,0.599373,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,HOME,Under 3.5,Home win,1595,581,0.855799,0.433856,0.364263,0.371294,0.9811,-0.703,-0.0404,0.340999,0.38818,0.289655,0.433856,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,DRAW,Under 3.5,Draw,1595,448,0.855799,0.312853,0.280878,0.267739,1.0491,1.314,0.0807,0.259368,0.30344,0.168652,0.312853,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,AWAY,Under 3.5,Away win,1595,336,0.855799,0.253292,0.210658,0.216767,0.9718,-0.611,-0.04,0.191353,0.231354,0.109091,0.253292,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,1X,Under 3.5,Home or draw,1595,1029,0.855799,0.746708,0.645141,0.639033,1.0096,0.611,0.04,0.621336,0.668248,0.602508,0.746708,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,X2,Under 3.5,Draw or away,1595,784,0.855799,0.566144,0.491536,0.484506,1.0145,0.703,0.0404,0.467051,0.516062,0.421944,0.566144,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,U35,12,Under 3.5,Home or away,1595,917,0.855799,0.687147,0.574922,0.58806,0.9777,-1.314,-0.0807,0.550509,0.598974,0.542947,0.687147,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,HOME,BTTS Yes,Home win,1595,225,0.400627,0.433856,0.141066,0.173814,0.8116,-3.275,-0.1348,0.124844,0.159013,0.0,0.400627,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,DRAW,BTTS Yes,Draw,1595,272,0.400627,0.312853,0.170533,0.125337,1.3606,4.52,0.1989,0.152872,0.189777,0.0,0.312853,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,AWAY,BTTS Yes,Away win,1595,142,0.400627,0.253292,0.089028,0.101475,0.8773,-1.245,-0.0584,0.076021,0.10401,0.0,0.253292,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,1X,BTTS Yes,Home or draw,1595,497,0.400627,0.746708,0.311599,0.299152,1.0416,1.245,0.0584,0.289344,0.334758,0.147335,0.400627,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,X2,BTTS Yes,Draw or away,1595,414,0.400627,0.566144,0.259561,0.226813,1.1444,3.275,0.1348,0.238642,0.281636,0.0,0.400627,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS,12,BTTS Yes,Home or away,1595,367,0.400627,0.687147,0.230094,0.27529,0.8358,-4.52,-0.1989,0.210101,0.251384,0.087774,0.400627,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,HOME,BTTS No,Home win,1595,467,0.599373,0.433856,0.29279,0.260041,1.1259,3.275,0.1348,0.270977,0.315599,0.033229,0.433856,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,DRAW,BTTS No,Draw,1595,227,0.599373,0.312853,0.14232,0.187515,0.759,-4.52,-0.1989,0.126032,0.160326,0.0,0.312853,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,AWAY,BTTS No,Away win,1595,262,0.599373,0.253292,0.164263,0.151816,1.082,1.245,0.0584,0.14689,0.18325,0.0,0.253292,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,1X,BTTS No,Home or draw,1595,694,0.599373,0.746708,0.43511,0.447557,0.9722,-1.245,-0.0584,0.410964,0.459568,0.346082,0.599373,True,True,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,X2,BTTS No,Draw or away,1595,489,0.599373,0.566144,0.306583,0.339332,0.9035,-3.275,-0.1348,0.284442,0.329653,0.165517,0.566144,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,BTTS_NO,12,BTTS No,Home or away,1595,729,0.599373,0.687147,0.457053,0.411858,1.1097,4.52,0.1989,0.432738,0.481575,0.28652,0.599373,True,False,RESEARCH,1.0.0
league=Argentina Primera Division,Argentina Primera Division,ALL,1X,X2,Home or draw,Draw or away,1595,499,0.746708,0.566144,0.312853,0.422745,0.7401,-10.989,-0.5099,0.290571,0.336034,0.312853,0.566144,True,False,RESEARCH,1.0.0
