variant,target,metric,months,slope_per_month,ci_lo,ci_hi,kendall_tau,p_value,direction,statistically_clear,verdict
rolling_3y,btts,log_loss,50,-0.000551,-0.000724,-0.000359,-0.4949,0.0,IMPROVING,True,IMPROVING
rolling_3y,btts,brier,50,-0.000249,-0.000334,-0.000164,-0.4835,0.0,IMPROVING,True,IMPROVING
rolling_3y,btts,ece,50,0.000221,-6e-06,0.000425,0.1837,0.05982,DEGRADING,False,FLAT
rolling_3y,btts,auc,50,0.0011,0.000541,0.001667,0.3577,0.00025,IMPROVING,True,IMPROVING
rolling_3y,btts,accuracy_lift,50,0.031952,-0.012436,0.081471,0.1274,0.19191,IMPROVING,False,FLAT
rolling_3y,btts,margin_vs_baseline_ll,50,0.000409,0.00027,0.000564,0.4498,0.0,IMPROVING,True,IMPROVING
rolling_3y,over15,log_loss,50,-0.000683,-0.00107,-0.000249,-0.2963,0.00239,IMPROVING,True,IMPROVING
rolling_3y,over15,brier,50,-0.000283,-0.000468,-0.000108,-0.2914,0.00282,IMPROVING,True,IMPROVING
rolling_3y,over15,ece,50,9.6e-05,-0.000119,0.000292,0.0996,0.30747,DEGRADING,False,FLAT
rolling_3y,over15,auc,50,0.000268,-0.000152,0.000723,0.1112,0.25523,IMPROVING,False,FLAT
rolling_3y,over15,accuracy_lift,50,0.002185,-0.001951,0.00676,0.1049,0.29212,IMPROVING,False,FLAT
rolling_3y,over15,margin_vs_baseline_ll,50,0.000154,4.5e-05,0.000259,0.2473,0.01126,IMPROVING,True,IMPROVING
rolling_3y,over25,log_loss,50,-2.5e-05,-0.000177,0.000122,-0.0327,0.7379,IMPROVING,False,FLAT
rolling_3y,over25,brier,50,-8e-06,-8.6e-05,6.3e-05,-0.0204,0.83435,IMPROVING,False,FLAT
rolling_3y,over25,ece,50,5.2e-05,-0.000177,0.000303,0.0433,0.65752,DEGRADING,False,FLAT
rolling_3y,over25,auc,50,-9.1e-05,-0.000536,0.000347,-0.0531,0.58658,DEGRADING,False,FLAT
rolling_3y,over25,accuracy_lift,50,-0.040517,-0.089655,0.019308,-0.1314,0.17806,DEGRADING,False,FLAT
rolling_3y,over25,margin_vs_baseline_ll,50,0.000111,-2.5e-05,0.000239,0.1691,0.08334,IMPROVING,False,FLAT
rolling_3y,over35,log_loss,50,0.000399,-8e-05,0.000933,0.1624,0.09599,DEGRADING,False,FLAT
rolling_3y,over35,brier,50,0.000193,-2.4e-05,0.00043,0.1706,0.08042,DEGRADING,False,FLAT
rolling_3y,over35,ece,50,6.7e-05,-0.000188,0.000304,0.0629,0.51951,DEGRADING,False,FLAT
rolling_3y,over35,auc,50,0.000156,-0.0004,0.00065,0.0711,0.46671,IMPROVING,False,FLAT
rolling_3y,over35,accuracy_lift,50,0.006867,-0.002024,0.017714,0.1509,0.12354,IMPROVING,False,FLAT
rolling_3y,over35,margin_vs_baseline_ll,50,8e-05,-9.2e-05,0.00019,0.0922,0.34454,IMPROVING,False,FLAT
v9_path,btts,log_loss,50,-0.000446,-0.00065,-0.000189,-0.3453,0.0004,IMPROVING,True,IMPROVING
v9_path,btts,brier,50,-0.000185,-0.000292,-7.7e-05,-0.3306,0.0007,IMPROVING,True,IMPROVING
v9_path,btts,ece,50,-0.000285,-0.00056,-1e-06,-0.1951,0.04559,IMPROVING,True,IMPROVING
v9_path,btts,auc,50,0.000822,0.000247,0.00136,0.262,0.00725,IMPROVING,True,IMPROVING
v9_path,btts,accuracy_lift,50,0.00425,-0.054154,0.06472,0.0073,0.93999,IMPROVING,False,FLAT
v9_path,btts,margin_vs_baseline_ll,50,0.000233,2.1e-05,0.000447,0.2091,0.03224,IMPROVING,True,IMPROVING
v9_path,over15,log_loss,50,-0.00039,-0.000898,0.000141,-0.1412,0.14786,IMPROVING,False,FLAT
v9_path,over15,brier,50,-0.000163,-0.000393,6.3e-05,-0.138,0.15746,IMPROVING,False,FLAT
v9_path,over15,ece,50,-0.000122,-0.000382,0.000165,-0.0841,0.38892,IMPROVING,False,FLAT
v9_path,over15,auc,50,0.00032,-0.000157,0.000831,0.1446,0.13869,IMPROVING,False,FLAT
v9_path,over15,accuracy_lift,50,0.0054,0.00025,0.01,0.2708,0.00671,IMPROVING,True,IMPROVING
