variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2023-01,btts,9ba51036a61f,v9_path:2023-01,2019-02-22,2022-12-31,17312,120,0.5417,0.5417,0.625,8.333,0.6294,0.6657,0.23754,0.66774,0.07421,0.67912,0.243,0.01138,0.5252,0.5417,0,PROMOTE,True
v9_path,2023-01,over15,9ba51036a61f,v9_path:2023-01,2019-02-22,2022-12-31,17312,120,0.7167,0.7167,0.7083,-0.833,0.6382,0.8136,0.19769,0.58143,0.02824,0.58005,0.19656,-0.00138,0.7339,0.7167,0,PROMOTE,True
v9_path,2023-01,over25,9ba51036a61f,v9_path:2023-01,2019-02-22,2022-12-31,17312,120,0.5667,0.5667,0.65,8.333,0.6462,0.6725,0.23684,0.66674,0.09399,0.69404,0.25046,0.0273,0.5072,0.5667,0,PROMOTE,True
v9_path,2023-01,over35,9ba51036a61f,v9_path:2023-01,2019-02-22,2022-12-31,17312,120,0.25,0.75,0.7583,0.833,0.6378,0.3967,0.17946,0.5424,0.03852,0.5624,0.18783,0.02,0.2783,0.25,0,PROMOTE,True
v9_path,2023-02,btts,b55d324d202f,v9_path:2023-02,2019-02-22,2023-01-30,17432,335,0.4896,0.5104,0.5433,3.284,0.5747,0.5404,0.24635,0.68594,0.04911,0.70282,0.25478,0.01688,0.529,0.4896,0,PROMOTE,True
v9_path,2023-02,over15,b55d324d202f,v9_path:2023-02,2019-02-22,2023-01-30,17432,335,0.7403,0.7403,0.7343,-0.597,0.5392,0.7707,0.1927,0.57363,0.01939,0.58121,0.19521,0.00757,0.7296,0.7403,0,PROMOTE,True
v9_path,2023-02,over25,b55d324d202f,v9_path:2023-02,2019-02-22,2023-01-30,17432,335,0.4448,0.5552,0.5612,0.597,0.6027,0.5407,0.24034,0.6734,0.05208,0.682,0.24445,0.00861,0.4882,0.4448,0,PROMOTE,True
v9_path,2023-02,over35,b55d324d202f,v9_path:2023-02,2019-02-22,2023-01-30,17432,335,0.2179,0.7821,0.7851,0.299,0.5852,0.291,0.17042,0.52226,0.04868,0.52831,0.17241,0.00605,0.2636,0.2179,0,PROMOTE,True
v9_path,2023-03,btts,084e417e4765,v9_path:2023-03,2019-02-22,2023-02-28,17767,408,0.5098,0.5098,0.576,6.618,0.5543,0.5458,0.25042,0.69453,0.07447,0.6854,0.24614,-0.00912,0.5302,0.5098,0,PROMOTE,True
v9_path,2023-03,over15,084e417e4765,v9_path:2023-03,2019-02-22,2023-02-28,17767,408,0.7451,0.7451,0.7451,0.0,0.5661,0.7995,0.18797,0.56198,0.04161,0.56271,0.18801,0.00073,0.7344,0.7451,0,PROMOTE,True
v9_path,2023-03,over25,084e417e4765,v9_path:2023-03,2019-02-22,2023-02-28,17767,408,0.4755,0.5245,0.5417,1.716,0.5634,0.5394,0.24652,0.68594,0.03165,0.69261,0.24971,0.00668,0.5,0.4755,0,PROMOTE,True
