policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
v9_current_tol005,btts,2023-05,True,0.67214,0.66277,0.68208,0.68208
not_worse_tol000,btts,2023-05,True,0.67214,0.66277,0.68208,0.68208
must_improve_tol000,btts,2023-05,True,0.67214,0.66277,0.68208,0.68208
must_improve_tol002,btts,2023-05,True,0.67214,0.66277,0.68208,0.68208
v9_rule_6m_window,btts,2023-05,True,0.66536,0.66426,0.68208,0.68208
two_window_tol005,btts,2023-05,False,0.67214,0.66277,0.68639,0.68208
always_promote,btts,2023-06,True,0.66892,0.66025,0.67869,0.67869
never_promote,btts,2023-06,False,0.69347,0.66025,0.69735,0.67869
v9_current_tol005,btts,2023-06,True,0.66892,0.66025,0.67869,0.67869
not_worse_tol000,btts,2023-06,True,0.66892,0.66025,0.67869,0.67869
must_improve_tol000,btts,2023-06,True,0.66892,0.66025,0.67869,0.67869
must_improve_tol002,btts,2023-06,True,0.66892,0.66025,0.67869,0.67869
v9_rule_6m_window,btts,2023-06,True,0.66787,0.66331,0.67869,0.67869
two_window_tol005,btts,2023-06,False,0.68232,0.66025,0.67708,0.67869
always_promote,btts,2023-07,True,0.66133,0.64609,0.66818,0.66818
never_promote,btts,2023-07,False,0.69475,0.64609,0.6818,0.66818
v9_current_tol005,btts,2023-07,True,0.66133,0.64609,0.66818,0.66818
not_worse_tol000,btts,2023-07,True,0.66133,0.64609,0.66818,0.66818
must_improve_tol000,btts,2023-07,True,0.66133,0.64609,0.66818,0.66818
must_improve_tol002,btts,2023-07,True,0.66133,0.64609,0.66818,0.66818
v9_rule_6m_window,btts,2023-07,True,0.66386,0.65206,0.66818,0.66818
two_window_tol005,btts,2023-07,False,0.68966,0.64609,0.67474,0.66818
always_promote,btts,2023-08,True,0.64854,0.63577,0.68787,0.68787
never_promote,btts,2023-08,False,0.68795,0.63577,0.69902,0.68787
v9_current_tol005,btts,2023-08,True,0.64854,0.63577,0.68787,0.68787
not_worse_tol000,btts,2023-08,True,0.64854,0.63577,0.68787,0.68787
must_improve_tol000,btts,2023-08,True,0.64854,0.63577,0.68787,0.68787
must_improve_tol002,btts,2023-08,True,0.64854,0.63577,0.68787,0.68787
v9_rule_6m_window,btts,2023-08,True,0.65291,0.64841,0.68787,0.68787
two_window_tol005,btts,2023-08,True,0.68092,0.63577,0.68787,0.68787
always_promote,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
never_promote,btts,2023-09,False,0.69368,0.64205,0.68894,0.68437
v9_current_tol005,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
not_worse_tol000,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
must_improve_tol000,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
must_improve_tol002,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
v9_rule_6m_window,btts,2023-09,True,0.65466,0.65048,0.68437,0.68437
two_window_tol005,btts,2023-09,True,0.65769,0.64205,0.68437,0.68437
always_promote,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
never_promote,btts,2023-10,False,0.69113,0.63477,0.69384,0.67625
v9_current_tol005,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
not_worse_tol000,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
must_improve_tol000,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
must_improve_tol002,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
v9_rule_6m_window,btts,2023-10,True,0.65612,0.63613,0.67625,0.67625
two_window_tol005,btts,2023-10,True,0.66059,0.63477,0.67625,0.67625
always_promote,btts,2023-11,True,0.65181,0.65702,0.69026,0.69026
never_promote,btts,2023-11,False,0.6937,0.65702,0.70047,0.69026
v9_current_tol005,btts,2023-11,False,0.65181,0.65702,0.68828,0.69026
not_worse_tol000,btts,2023-11,False,0.65181,0.65702,0.68828,0.69026
must_improve_tol000,btts,2023-11,False,0.65181,0.65702,0.68828,0.69026
must_improve_tol002,btts,2023-11,False,0.65181,0.65702,0.68828,0.69026
v9_rule_6m_window,btts,2023-11,False,0.64208,0.6541,0.68828,0.69026
two_window_tol005,btts,2023-11,False,0.65181,0.65702,0.68828,0.69026
always_promote,btts,2023-12,True,0.66406,0.64569,0.68272,0.68272
never_promote,btts,2023-12,False,0.69381,0.64569,0.68995,0.68272
v9_current_tol005,btts,2023-12,True,0.66462,0.64569,0.68272,0.68272
not_worse_tol000,btts,2023-12,True,0.66462,0.64569,0.68272,0.68272
must_improve_tol000,btts,2023-12,True,0.66462,0.64569,0.68272,0.68272
must_improve_tol002,btts,2023-12,True,0.66462,0.64569,0.68272,0.68272
v9_rule_6m_window,btts,2023-12,True,0.65121,0.64483,0.68272,0.68272
two_window_tol005,btts,2023-12,False,0.66462,0.64569,0.68529,0.68272
always_promote,btts,2024-01,True,0.65639,0.63744,0.68176,0.68176
never_promote,btts,2024-01,False,0.69478,0.63744,0.67719,0.68176
v9_current_tol005,btts,2024-01,True,0.65639,0.63744,0.68176,0.68176
not_worse_tol000,btts,2024-01,True,0.65639,0.63744,0.68176,0.68176
must_improve_tol000,btts,2024-01,True,0.65639,0.63744,0.68176,0.68176
must_improve_tol002,btts,2024-01,True,0.65639,0.63744,0.68176,0.68176
v9_rule_6m_window,btts,2024-01,True,0.6511,0.63703,0.68176,0.68176
two_window_tol005,btts,2024-01,True,0.68257,0.63744,0.68176,0.68176
always_promote,btts,2024-02,True,0.65239,0.64863,0.67464,0.67464
never_promote,btts,2024-02,False,0.69057,0.64863,0.69138,0.67464
v9_current_tol005,btts,2024-02,True,0.65239,0.64863,0.67464,0.67464
not_worse_tol000,btts,2024-02,True,0.65239,0.64863,0.67464,0.67464
must_improve_tol000,btts,2024-02,True,0.65239,0.64863,0.67464,0.67464
must_improve_tol002,btts,2024-02,True,0.65239,0.64863,0.67464,0.67464
v9_rule_6m_window,btts,2024-02,True,0.64356,0.64777,0.67464,0.67464
two_window_tol005,btts,2024-02,False,0.65239,0.64863,0.67569,0.67464
always_promote,btts,2024-03,True,0.65821,0.63913,0.68218,0.68218
never_promote,btts,2024-03,False,0.68727,0.63913,0.70005,0.68218
v9_current_tol005,btts,2024-03,True,0.65821,0.63913,0.68218,0.68218
not_worse_tol000,btts,2024-03,True,0.65821,0.63913,0.68218,0.68218
must_improve_tol000,btts,2024-03,True,0.65821,0.63913,0.68218,0.68218
