policy,target,month,n_test,live_log_loss,live_brier,challenger_log_loss,adopted
must_improve_tol002,btts,2023-05,1234,0.68208,0.24454,0.68208,True
v9_rule_6m_window,btts,2023-05,1234,0.68208,0.24454,0.68208,True
two_window_tol005,btts,2023-05,1234,0.68639,0.24661,0.68208,False
always_promote,btts,2023-06,539,0.67869,0.24292,0.67869,True
never_promote,btts,2023-06,539,0.69735,0.2518,0.67869,False
v9_current_tol005,btts,2023-06,539,0.67869,0.24292,0.67869,True
not_worse_tol000,btts,2023-06,539,0.67869,0.24292,0.67869,True
must_improve_tol000,btts,2023-06,539,0.67869,0.24292,0.67869,True
must_improve_tol002,btts,2023-06,539,0.67869,0.24292,0.67869,True
v9_rule_6m_window,btts,2023-06,539,0.67869,0.24292,0.67869,True
two_window_tol005,btts,2023-06,539,0.67708,0.24207,0.67869,False
always_promote,btts,2023-07,755,0.66818,0.23772,0.66818,True
never_promote,btts,2023-07,755,0.6818,0.24429,0.66818,False
v9_current_tol005,btts,2023-07,755,0.66818,0.23772,0.66818,True
not_worse_tol000,btts,2023-07,755,0.66818,0.23772,0.66818,True
must_improve_tol000,btts,2023-07,755,0.66818,0.23772,0.66818,True
must_improve_tol002,btts,2023-07,755,0.66818,0.23772,0.66818,True
v9_rule_6m_window,btts,2023-07,755,0.66818,0.23772,0.66818,True
two_window_tol005,btts,2023-07,755,0.67474,0.2408,0.66818,False
always_promote,btts,2023-08,1311,0.68787,0.24739,0.68787,True
never_promote,btts,2023-08,1311,0.69902,0.25277,0.68787,False
v9_current_tol005,btts,2023-08,1311,0.68787,0.24739,0.68787,True
not_worse_tol000,btts,2023-08,1311,0.68787,0.24739,0.68787,True
must_improve_tol000,btts,2023-08,1311,0.68787,0.24739,0.68787,True
must_improve_tol002,btts,2023-08,1311,0.68787,0.24739,0.68787,True
v9_rule_6m_window,btts,2023-08,1311,0.68787,0.24739,0.68787,True
two_window_tol005,btts,2023-08,1311,0.68787,0.24739,0.68787,True
always_promote,btts,2023-09,1510,0.68437,0.24573,0.68437,True
never_promote,btts,2023-09,1510,0.68894,0.24786,0.68437,False
v9_current_tol005,btts,2023-09,1510,0.68437,0.24573,0.68437,True
not_worse_tol000,btts,2023-09,1510,0.68437,0.24573,0.68437,True
must_improve_tol000,btts,2023-09,1510,0.68437,0.24573,0.68437,True
must_improve_tol002,btts,2023-09,1510,0.68437,0.24573,0.68437,True
v9_rule_6m_window,btts,2023-09,1510,0.68437,0.24573,0.68437,True
two_window_tol005,btts,2023-09,1510,0.68437,0.24573,0.68437,True
always_promote,btts,2023-10,1430,0.67625,0.24188,0.67625,True
never_promote,btts,2023-10,1430,0.69384,0.25032,0.67625,False
v9_current_tol005,btts,2023-10,1430,0.67625,0.24188,0.67625,True
not_worse_tol000,btts,2023-10,1430,0.67625,0.24188,0.67625,True
must_improve_tol000,btts,2023-10,1430,0.67625,0.24188,0.67625,True
must_improve_tol002,btts,2023-10,1430,0.67625,0.24188,0.67625,True
v9_rule_6m_window,btts,2023-10,1430,0.67625,0.24188,0.67625,True
two_window_tol005,btts,2023-10,1430,0.67625,0.24188,0.67625,True
always_promote,btts,2023-11,1097,0.69026,0.24858,0.69026,True
never_promote,btts,2023-11,1097,0.70047,0.25343,0.69026,False
v9_current_tol005,btts,2023-11,1097,0.68828,0.24763,0.69026,False
not_worse_tol000,btts,2023-11,1097,0.68828,0.24763,0.69026,False
must_improve_tol000,btts,2023-11,1097,0.68828,0.24763,0.69026,False
must_improve_tol002,btts,2023-11,1097,0.68828,0.24763,0.69026,False
v9_rule_6m_window,btts,2023-11,1097,0.68828,0.24763,0.69026,False
two_window_tol005,btts,2023-11,1097,0.68828,0.24763,0.69026,False
always_promote,btts,2023-12,1018,0.68272,0.24494,0.68272,True
never_promote,btts,2023-12,1018,0.68995,0.24833,0.68272,False
v9_current_tol005,btts,2023-12,1018,0.68272,0.24494,0.68272,True
not_worse_tol000,btts,2023-12,1018,0.68272,0.24494,0.68272,True
must_improve_tol000,btts,2023-12,1018,0.68272,0.24494,0.68272,True
must_improve_tol002,btts,2023-12,1018,0.68272,0.24494,0.68272,True
v9_rule_6m_window,btts,2023-12,1018,0.68272,0.24494,0.68272,True
two_window_tol005,btts,2023-12,1018,0.68529,0.24618,0.68272,False
always_promote,btts,2024-01,766,0.68176,0.24452,0.68176,True
never_promote,btts,2024-01,766,0.67719,0.24216,0.68176,False
v9_current_tol005,btts,2024-01,766,0.68176,0.24452,0.68176,True
not_worse_tol000,btts,2024-01,766,0.68176,0.24452,0.68176,True
must_improve_tol000,btts,2024-01,766,0.68176,0.24452,0.68176,True
must_improve_tol002,btts,2024-01,766,0.68176,0.24452,0.68176,True
v9_rule_6m_window,btts,2024-01,766,0.68176,0.24452,0.68176,True
two_window_tol005,btts,2024-01,766,0.68176,0.24452,0.68176,True
always_promote,btts,2024-02,1214,0.67464,0.24091,0.67464,True
never_promote,btts,2024-02,1214,0.69138,0.24908,0.67464,False
v9_current_tol005,btts,2024-02,1214,0.67464,0.24091,0.67464,True
not_worse_tol000,btts,2024-02,1214,0.67464,0.24091,0.67464,True
must_improve_tol000,btts,2024-02,1214,0.67464,0.24091,0.67464,True
must_improve_tol002,btts,2024-02,1214,0.67464,0.24091,0.67464,True
v9_rule_6m_window,btts,2024-02,1214,0.67464,0.24091,0.67464,True
two_window_tol005,btts,2024-02,1214,0.67569,0.24147,0.67464,False
always_promote,btts,2024-03,1366,0.68218,0.24472,0.68218,True
never_promote,btts,2024-03,1366,0.70005,0.25334,0.68218,False
v9_current_tol005,btts,2024-03,1366,0.68218,0.24472,0.68218,True
not_worse_tol000,btts,2024-03,1366,0.68218,0.24472,0.68218,True
must_improve_tol000,btts,2024-03,1366,0.68218,0.24472,0.68218,True
must_improve_tol002,btts,2024-03,1366,0.68218,0.24472,0.68218,True
v9_rule_6m_window,btts,2024-03,1366,0.68218,0.24472,0.68218,True
two_window_tol005,btts,2024-03,1366,0.68329,0.24527,0.68218,False
always_promote,btts,2024-04,1750,0.67491,0.24111,0.67491,True
never_promote,btts,2024-04,1750,0.69101,0.24885,0.67491,False
v9_current_tol005,btts,2024-04,1750,0.67491,0.24111,0.67491,True
not_worse_tol000,btts,2024-04,1750,0.67491,0.24111,0.67491,True
must_improve_tol000,btts,2024-04,1750,0.67491,0.24111,0.67491,True
must_improve_tol002,btts,2024-04,1750,0.67491,0.24111,0.67491,True
v9_rule_6m_window,btts,2024-04,1750,0.67491,0.24111,0.67491,True
two_window_tol005,btts,2024-04,1750,0.67813,0.24272,0.67491,False
always_promote,btts,2024-05,1257,0.66357,0.23594,0.66357,True
never_promote,btts,2024-05,1257,0.68489,0.24579,0.66357,False
v9_current_tol005,btts,2024-05,1257,0.66357,0.23594,0.66357,True
not_worse_tol000,btts,2024-05,1257,0.66357,0.23594,0.66357,True
must_improve_tol000,btts,2024-05,1257,0.66357,0.23594,0.66357,True
must_improve_tol002,btts,2024-05,1257,0.66357,0.23594,0.66357,True
v9_rule_6m_window,btts,2024-05,1257,0.66357,0.23594,0.66357,True
two_window_tol005,btts,2024-05,1257,0.66357,0.23594,0.66357,True
always_promote,btts,2024-06,563,0.65803,0.23316,0.65803,True
never_promote,btts,2024-06,563,0.68219,0.24467,0.65803,False
v9_current_tol005,btts,2024-06,563,0.65803,0.23316,0.65803,True
not_worse_tol000,btts,2024-06,563,0.65803,0.23316,0.65803,True
must_improve_tol000,btts,2024-06,563,0.65803,0.23316,0.65803,True
must_improve_tol002,btts,2024-06,563,0.65803,0.23316,0.65803,True
v9_rule_6m_window,btts,2024-06,563,0.65803,0.23316,0.65803,True
two_window_tol005,btts,2024-06,563,0.66524,0.23674,0.65803,False
always_promote,btts,2024-07,676,0.66264,0.23556,0.66264,True
never_promote,btts,2024-07,676,0.67899,0.24292,0.66264,False
v9_current_tol005,btts,2024-07,676,0.66264,0.23556,0.66264,True
not_worse_tol000,btts,2024-07,676,0.66264,0.23556,0.66264,True
must_improve_tol000,btts,2024-07,676,0.66264,0.23556,0.66264,True
must_improve_tol002,btts,2024-07,676,0.66264,0.23556,0.66264,True
v9_rule_6m_window,btts,2024-07,676,0.66264,0.23556,0.66264,True
two_window_tol005,btts,2024-07,676,0.65548,0.23208,0.66264,False
always_promote,btts,2024-08,1343,0.67025,0.23933,0.67025,True
never_promote,btts,2024-08,1343,0.70063,0.25352,0.67025,False
v9_current_tol005,btts,2024-08,1343,0.67025,0.23933,0.67025,True
not_worse_tol000,btts,2024-08,1343,0.67025,0.23933,0.67025,True
must_improve_tol000,btts,2024-08,1343,0.67025,0.23933,0.67025,True
must_improve_tol002,btts,2024-08,1343,0.67025,0.23933,0.67025,True
v9_rule_6m_window,btts,2024-08,1343,0.67025,0.23933,0.67025,True
two_window_tol005,btts,2024-08,1343,0.67025,0.23933,0.67025,True
always_promote,btts,2024-09,1435,0.67292,0.24053,0.67292,True
never_promote,btts,2024-09,1435,0.69273,0.24979,0.67292,False
v9_current_tol005,btts,2024-09,1435,0.67292,0.24053,0.67292,True
not_worse_tol000,btts,2024-09,1435,0.67411,0.24119,0.67292,False
must_improve_tol000,btts,2024-09,1435,0.67411,0.24119,0.67292,False
must_improve_tol002,btts,2024-09,1435,0.67411,0.24119,0.67292,False
v9_rule_6m_window,btts,2024-09,1435,0.67411,0.24119,0.67292,False
two_window_tol005,btts,2024-09,1435,0.67411,0.24119,0.67292,False
always_promote,btts,2024-10,1342,0.66915,0.2387,0.66915,True
never_promote,btts,2024-10,1342,0.6946,0.25055,0.66915,False
v9_current_tol005,btts,2024-10,1342,0.66915,0.2387,0.66915,True
not_worse_tol000,btts,2024-10,1342,0.66915,0.2387,0.66915,True
must_improve_tol000,btts,2024-10,1342,0.66915,0.2387,0.66915,True
must_improve_tol002,btts,2024-10,1342,0.66915,0.2387,0.66915,True
v9_rule_6m_window,btts,2024-10,1342,0.67129,0.23996,0.66915,False
two_window_tol005,btts,2024-10,1342,0.67129,0.23996,0.66915,False
always_promote,btts,2024-11,1233,0.67376,0.24113,0.67376,True
never_promote,btts,2024-11,1233,0.7051,0.2557,0.67376,False
v9_current_tol005,btts,2024-11,1233,0.67376,0.24113,0.67376,True
not_worse_tol000,btts,2024-11,1233,0.67376,0.24113,0.67376,True
must_improve_tol000,btts,2024-11,1233,0.67376,0.24113,0.67376,True
must_improve_tol002,btts,2024-11,1233,0.67376,0.24113,0.67376,True
v9_rule_6m_window,btts,2024-11,1233,0.67376,0.24113,0.67376,True
two_window_tol005,btts,2024-11,1233,0.67376,0.24113,0.67376,True
always_promote,btts,2024-12,1040,0.67083,0.23943,0.67083,True
never_promote,btts,2024-12,1040,0.69719,0.25189,0.67083,False
v9_current_tol005,btts,2024-12,1040,0.67108,0.23979,0.67083,False
not_worse_tol000,btts,2024-12,1040,0.67108,0.23979,0.67083,False
must_improve_tol000,btts,2024-12,1040,0.67108,0.23979,0.67083,False
must_improve_tol002,btts,2024-12,1040,0.67108,0.23979,0.67083,False
v9_rule_6m_window,btts,2024-12,1040,0.67108,0.23979,0.67083,False
two_window_tol005,btts,2024-12,1040,0.67108,0.23979,0.67083,False
always_promote,btts,2025-01,863,0.67248,0.24011,0.67248,True
never_promote,btts,2025-01,863,0.68761,0.2472,0.67248,False
v9_current_tol005,btts,2025-01,863,0.67248,0.24011,0.67248,True
not_worse_tol000,btts,2025-01,863,0.67248,0.24011,0.67248,True
must_improve_tol000,btts,2025-01,863,0.67248,0.24011,0.67248,True
must_improve_tol002,btts,2025-01,863,0.67248,0.24011,0.67248,True
v9_rule_6m_window,btts,2025-01,863,0.67248,0.24011,0.67248,True
two_window_tol005,btts,2025-01,863,0.67389,0.2409,0.67248,False
always_promote,btts,2025-02,1180,0.67312,0.24065,0.67312,True
never_promote,btts,2025-02,1180,0.69065,0.24875,0.67312,False
v9_current_tol005,btts,2025-02,1180,0.67312,0.24065,0.67312,True
