variant,month,target,val_logloss_champion,val_logloss_challenger,decision,next_month_logloss_active,next_month_logloss_challenger,next_month_logloss_incumbent,challenger_better_next_month,decision_was_correct,regret_logloss,champion_month,train_rows
v9_path,2022-08,btts,,,PROMOTE,0.6848144597659301,0.6848144597659301,,,,,2022-08,14460
v9_path,2022-08,over15,,,PROMOTE,0.5339061683011481,0.5339061683011481,,,,,2022-08,14460
v9_path,2022-08,over25,,,PROMOTE,0.6711449102379461,0.6711449102379461,,,,,2022-08,14460
v9_path,2022-08,over35,,,PROMOTE,0.5972875211010044,0.5972875211010044,,,,,2022-08,14460
v9_path,2022-09,btts,0.6666330380155459,0.6235231408349897,PROMOTE,0.6942665360408046,0.6942665360408046,0.6940815776687308,False,False,0.00018495837207377352,2022-09,15280
v9_path,2022-09,over15,0.5295058429175076,0.4992346495088785,PROMOTE,0.5613672630831605,0.5613672630831605,0.5620181311481177,True,True,0.0,2022-09,15280
v9_path,2022-09,over25,0.6410041610082222,0.6184338630289141,PROMOTE,0.6739575874002613,0.6739575874002613,0.6810249919474762,True,True,0.0,2022-09,15280
v9_path,2022-09,over35,0.5572042753486192,0.5006585654663867,PROMOTE,0.5659721670776355,0.5659721670776355,0.5693159237125986,True,True,0.0,2022-09,15280
v9_path,2022-10,btts,0.6432501305975735,0.6235392705746953,PROMOTE,0.6829124881871856,0.6829124881871856,0.6872357640537725,True,True,0.0,2022-10,15997
v9_path,2022-10,over15,0.514602547618104,0.48361289420498277,PROMOTE,0.5436196037336605,0.5436196037336605,0.543334724696419,False,False,0.0002848790372415033,2022-10,15997
v9_path,2022-10,over25,0.6338338435244126,0.6061784532731532,PROMOTE,0.6853888975353721,0.6853888975353721,0.6785763040874873,False,False,0.006812593447884874,2022-10,15997
v9_path,2022-10,over35,0.5225172542031805,0.5049038123880154,PROMOTE,0.5949616694522015,0.5949616694522015,0.6029446824751535,True,True,0.0,2022-10,15997
v9_path,2022-11,btts,0.64589047739732,0.6055196641762528,PROMOTE,0.6760035407106131,0.6760035407106131,0.6819010448473979,True,True,0.0,2022-11,16864
v9_path,2022-11,over15,0.495695847575099,0.4943691240976397,PROMOTE,0.46141207257244515,0.46141207257244515,0.47568587067847484,True,True,0.0,2022-11,16864
v9_path,2022-11,over25,0.6308818413479382,0.6046124578407464,PROMOTE,0.654397258470512,0.654397258470512,0.6701089518267548,True,True,0.0,2022-11,16864
v9_path,2022-11,over35,0.5406515937675089,0.511892400656894,PROMOTE,0.6635222822488304,0.6635222822488304,0.6564645502159883,False,False,0.007057732032842101,2022-11,16864
v9_path,2022-12,btts,0.6153649787359887,0.6194162929184104,PROMOTE,0.7246276263303602,0.7246276263303602,0.7125903043855061,False,False,0.012037321944854074,2022-12,17155
v9_path,2022-12,over15,0.49510415207271935,0.4894176214260927,PROMOTE,0.5000092760965467,0.5000092760965467,0.5028980333311917,True,True,0.0,2022-12,17155
v9_path,2022-12,over25,0.6146674230814481,0.6084382250427324,PROMOTE,0.6843384548028643,0.6843384548028643,0.6834320011975061,False,False,0.0009064536053581262,2022-12,17155
v9_path,2022-12,over35,0.5352251100850942,0.5518520916489649,REJECT,0.5853046762624102,0.5697309795443203,0.5853046762624102,True,False,0.015573696718089947,2022-11,17155
v9_path,2023-01,btts,0.6320574789123283,0.6231899348928563,PROMOTE,0.6677415062297791,0.6677415062297791,0.6648783093334701,False,False,0.0028631968963089838,2023-01,17312
v9_path,2023-01,over15,0.4807734502436615,0.4624723282021902,PROMOTE,0.5814286958914981,0.5814286958914981,0.5745014131482608,False,False,0.006927282743237395,2023-01,17312
v9_path,2023-01,over25,0.6150689681005087,0.6096762263959087,PROMOTE,0.6667352388947966,0.6667352388947966,0.6690165790398537,True,True,0.0,2023-01,17312
v9_path,2023-01,over35,0.5650206940242206,0.5426896739490189,PROMOTE,0.5424013468340415,0.5424013468340415,0.5284351400326092,False,False,0.013966206801432346,2023-01,17312
v9_path,2023-02,btts,0.6336944673884597,0.6127019865579787,PROMOTE,0.6859356094042178,0.6859356094042178,0.6893087645993206,True,True,0.0,2023-02,17432
v9_path,2023-02,over15,0.4563449649107798,0.45047999745921624,PROMOTE,0.5736333797841923,0.5736333797841923,0.5657981630094188,False,False,0.007835216774773501,2023-02,17432
v9_path,2023-02,over25,0.6146415090326408,0.5946978961660868,PROMOTE,0.6733950320668404,0.6733950320668404,0.6873079958884809,True,True,0.0,2023-02,17432
v9_path,2023-02,over35,0.5563454800556795,0.5404703514750431,PROMOTE,0.5222615685640805,0.5222615685640805,0.5293323689497964,True,True,0.0,2023-02,17432
