league,target,n_test,base_rate,challenger_logloss,control_logloss,delta,ci_lo,ci_hi,challenger_brier,control_brier,challenger_auc,significant,verdict
Finland Veikkausliiga,over15,1013,0.7799,0.51962,0.52976,0.01013,0.00365,0.01623,0.16939,0.17294,0.5633,True,IMPROVED
League Two,over15,3010,0.7349,0.56601,0.57597,0.00995,0.00513,0.01449,0.19012,0.19407,0.5984,True,IMPROVED
Mexico Liga MX,over15,2047,0.7807,0.51607,0.52551,0.00944,0.0045,0.01441,0.16787,0.17126,0.6014,True,IMPROVED
Japan J-League,over15,1802,0.7236,0.58165,0.591,0.00935,0.00371,0.01491,0.19689,0.20056,0.5725,True,IMPROVED
Championship,over15,2865,0.7319,0.57269,0.58197,0.00927,0.00507,0.01335,0.19281,0.19663,0.5797,True,IMPROVED
Sweden Allsvenskan,over15,1996,0.7826,0.51542,0.52424,0.00882,0.00479,0.01261,0.1676,0.17063,0.5687,True,IMPROVED
Scottish League Two,over15,703,0.771,0.53693,0.54426,0.00734,0.0022,0.01256,0.17623,0.1792,0.5542,True,IMPROVED
Denmark Superliga,over15,1037,0.8033,0.48555,0.49276,0.00721,0.00235,0.01207,0.15476,0.15705,0.604,True,IMPROVED
USA MLS,over15,3031,0.8004,0.48325,0.49019,0.00694,0.00355,0.01031,0.15447,0.15653,0.6255,True,IMPROVED
Serie B,over15,1638,0.721,0.5911,0.59774,0.00664,0.00256,0.01078,0.20094,0.20371,0.5301,True,IMPROVED
Scottish Premiership,over15,948,0.7859,0.51295,0.51798,0.00504,-0.00059,0.01096,0.16629,0.16803,0.5828,False,UNCLEAR
Austrian Bundesliga,over15,1369,0.7772,0.52563,0.53018,0.00455,0.00017,0.00917,0.17144,0.17299,0.5673,True,IMPROVED
Norway Eliteserien,over15,1520,0.8112,0.47863,0.4828,0.00417,-0.00021,0.00835,0.15144,0.15276,0.5767,False,UNCLEAR
China Super League,over15,1987,0.7886,0.5078,0.51158,0.00378,5e-05,0.0078,0.16446,0.16547,0.5765,True,IMPROVED
Turkish Super Lig,over15,1394,0.7733,0.5328,0.53434,0.00154,-0.0021,0.00508,0.17441,0.17519,0.548,False,UNCLEAR
Dutch Eredivisie,over15,1136,0.838,0.43895,0.44045,0.0015,-0.0021,0.00484,0.13474,0.13512,0.5774,False,UNCLEAR
Bundesliga 2,over15,2107,0.803,0.49226,0.49349,0.00124,-0.00245,0.00474,0.15676,0.1573,0.5527,False,UNCLEAR
Scottish League One,over15,703,0.7952,0.51429,0.5148,0.00051,-0.00457,0.00515,0.16554,0.16578,0.5094,False,UNCLEAR
Denmark 1st Div,over15,159,0.7799,0.53157,0.53194,0.00037,,,0.17274,0.17303,0.4961,False,INSUFFICIENT
Scottish Championship,over15,750,0.736,0.57893,0.57922,0.00029,-0.00655,0.00673,0.19508,0.19533,0.5248,False,UNCLEAR
K-League 1,over15,966,0.7184,0.59347,0.59374,0.00026,-0.00566,0.0059,0.20198,0.20199,0.5471,False,UNCLEAR
Ligue 2,over15,1424,0.6868,0.62482,0.62461,-0.00021,-0.00451,0.00429,0.21653,0.21651,0.5129,False,UNCLEAR
Belgian First Division A,over15,1286,0.7737,0.52538,0.52434,-0.00104,-0.00476,0.00271,0.17196,0.17158,0.6004,False,UNCLEAR
Portuguese Primeira Liga,over15,1285,0.7268,0.57783,0.57612,-0.00172,-0.00695,0.00347,0.19563,0.19475,0.5785,False,UNCLEAR
Romanian Superliga,over15,1331,0.6987,0.6145,0.61256,-0.00193,-0.00651,0.00265,0.21147,0.21087,0.5252,False,UNCLEAR
Saudi Pro League,over15,1221,0.7846,0.51506,0.5129,-0.00217,-0.0062,0.00176,0.16723,0.16642,0.5651,False,UNCLEAR
Greek Super League,over25,1435,0.4955,0.67427,0.69259,0.01832,0.01067,0.02573,0.24078,0.24966,0.61,True,IMPROVED
China Super League,over25,1987,0.5742,0.65868,0.67465,0.01596,0.01122,0.02078,0.23333,0.2409,0.6315,True,IMPROVED
Mexico Liga MX,over25,2047,0.553,0.67685,0.69186,0.01501,0.00929,0.02104,0.24209,0.24936,0.5769,True,IMPROVED
Finland Veikkausliiga,over25,1013,0.5637,0.66951,0.68416,0.01465,0.00655,0.02274,0.2386,0.24553,0.5945,True,IMPROVED
Argentina Primera Division,over25,3063,0.3435,0.63665,0.65012,0.01346,0.00918,0.01785,0.22265,0.22885,0.5762,True,IMPROVED
Norway Eliteserien,over25,1520,0.6125,0.65413,0.6674,0.01327,0.00719,0.01942,0.23111,0.23731,0.5926,True,IMPROVED
Brazil Serie A,over25,2353,0.4713,0.67801,0.69048,0.01247,0.00818,0.01659,0.24272,0.24867,0.5805,True,IMPROVED
League One,over25,3055,0.5018,0.68181,0.6935,0.01169,0.00726,0.01617,0.24447,0.25014,0.5791,True,IMPROVED
USA MLS,over25,3031,0.5998,0.65855,0.67014,0.01159,0.00717,0.01628,0.23337,0.23862,0.5909,True,IMPROVED
La Liga 2,over25,2729,0.4394,0.66466,0.67462,0.00996,0.00621,0.0136,0.2361,0.24083,0.6135,True,IMPROVED
Ireland Premier Division,over25,1168,0.4658,0.67772,0.68762,0.0099,0.00462,0.0157,0.24253,0.24728,0.5784,True,IMPROVED
Championship,over25,2865,0.482,0.68143,0.69041,0.00897,0.0054,0.01262,0.24435,0.24865,0.5722,True,IMPROVED
League Two,over25,3010,0.4841,0.68058,0.68921,0.00862,0.00384,0.01363,0.2439,0.24804,0.5784,True,IMPROVED
Serie B,over25,1638,0.4652,0.6889,0.69723,0.00833,0.00428,0.01246,0.24786,0.2519,0.5315,True,IMPROVED
Denmark Superliga,over25,1037,0.5689,0.67429,0.6822,0.00791,0.00046,0.01497,0.2408,0.2446,0.5741,True,IMPROVED
Japan J-League,over25,1802,0.4906,0.6863,0.69391,0.00761,0.00252,0.01279,0.24661,0.25035,0.5643,True,IMPROVED
Portuguese Primeira Liga,over25,1285,0.5167,0.67687,0.68408,0.00721,0.00201,0.01237,0.24208,0.24549,0.5973,True,IMPROVED
National League,over25,2314,0.5363,0.68616,0.69284,0.00668,0.00287,0.01052,0.24652,0.24984,0.5541,True,IMPROVED
Sweden Allsvenskan,over25,1996,0.5421,0.68205,0.68713,0.00508,0.00056,0.00981,0.24467,0.24706,0.5594,True,IMPROVED
Denmark 1st Div,over25,159,0.5912,0.6766,0.6815,0.00491,,,0.24181,0.24417,0.5318,False,INSUFFICIENT
Turkish Super Lig,over25,1394,0.5445,0.67526,0.67938,0.00413,0.00065,0.0076,0.24132,0.24323,0.5893,True,IMPROVED
Scottish League Two,over25,703,0.5107,0.68756,0.69148,0.00392,-0.00112,0.00925,0.24721,0.24916,0.5647,False,UNCLEAR
Scottish Premiership,over25,948,0.5601,0.67903,0.68274,0.00371,-0.00207,0.00975,0.24305,0.24477,0.5692,False,UNCLEAR
Austrian Bundesliga,over25,1369,0.5267,0.68552,0.68864,0.00313,-0.00206,0.00848,0.24616,0.24774,0.5626,False,UNCLEAR
Bundesliga 2,over25,2107,0.5904,0.67496,0.67795,0.00299,-0.00111,0.00717,0.24097,0.24244,0.5335,False,UNCLEAR
Saudi Pro League,over25,1221,0.561,0.68044,0.68284,0.0024,-0.0022,0.00703,0.24368,0.24491,0.562,False,UNCLEAR
Ligue 2,over25,1424,0.4642,0.69137,0.69248,0.00111,-0.00266,0.00501,0.24904,0.24959,0.5224,False,UNCLEAR
Scottish League One,over25,703,0.5533,0.69316,0.69293,-0.00023,-0.00488,0.00485,0.24995,0.24988,0.5148,False,UNCLEAR
K-League 1,over25,966,0.4731,0.69589,0.69542,-0.00047,-0.0052,0.00459,0.25134,0.25112,0.5067,False,UNCLEAR
Dutch Eredivisie,over25,1136,0.6039,0.66608,0.66535,-0.00074,-0.00486,0.00363,0.23675,0.23636,0.5598,False,UNCLEAR
Belgian First Division A,over25,1286,0.5404,0.68223,0.68098,-0.00126,-0.00448,0.0021,0.2446,0.24403,0.5711,False,UNCLEAR
Scottish Championship,over25,750,0.4893,0.69343,0.69127,-0.00216,-0.00792,0.0035,0.2501,0.24901,0.5328,False,UNCLEAR
Romanian Superliga,over25,1331,0.441,0.68682,0.68395,-0.00287,-0.00716,0.00132,0.24683,0.24542,0.533,False,UNCLEAR
Finland Veikkausliiga,over35,1013,0.3159,0.59886,0.61777,0.0189,0.00981,0.02911,0.20574,0.21342,0.6391,True,IMPROVED
USA MLS,over35,3031,0.3596,0.63195,0.64898,0.01703,0.01145,0.02246,0.22061,0.22819,0.6094,True,IMPROVED
Norway Eliteserien,over35,1520,0.3868,0.65632,0.67227,0.01595,0.00836,0.02377,0.23203,0.239,0.5859,True,IMPROVED
Argentina Primera Division,over35,3063,0.1541,0.42689,0.44167,0.01478,0.01071,0.01879,0.12985,0.13444,0.5789,True,IMPROVED
China Super League,over35,1987,0.3533,0.62338,0.63679,0.01341,0.00772,0.01943,0.21666,0.22272,0.6399,True,IMPROVED
Denmark Superliga,over35,1037,0.3549,0.63175,0.64516,0.01341,0.00541,0.0216,0.22033,0.22652,0.622,True,IMPROVED
Greek Super League,over35,1435,0.2613,0.56441,0.57547,0.01105,0.00462,0.01765,0.1891,0.19347,0.5809,True,IMPROVED
Mexico Liga MX,over35,2047,0.3151,0.61485,0.62558,0.01074,0.00535,0.01607,0.21239,0.21663,0.5692,True,IMPROVED
League One,over35,3055,0.254,0.55486,0.56324,0.00838,0.0046,0.01207,0.18512,0.18814,0.5884,True,IMPROVED
Bundesliga 2,over35,2107,0.3484,0.63982,0.64735,0.00753,0.00257,0.01236,0.22428,0.22733,0.5619,True,IMPROVED
Denmark 1st Div,over35,159,0.3082,0.61866,0.62587,0.00721,,,0.21376,0.21697,0.5293,False,INSUFFICIENT
La Liga 2,over35,2729,0.2415,0.53347,0.54039,0.00691,0.00307,0.01091,0.17618,0.17881,0.6317,True,IMPROVED
Scottish League One,over35,703,0.3385,0.6398,0.64656,0.00676,0.00048,0.01237,0.22355,0.22635,0.5516,True,IMPROVED
Ireland Premier Division,over35,1168,0.2568,0.56631,0.57278,0.00647,-0.00039,0.01328,0.18939,0.19218,0.5423,False,UNCLEAR
Portuguese Primeira Liga,over35,1285,0.2918,0.59548,0.60184,0.00637,0.00187,0.01088,0.20313,0.20587,0.5844,True,IMPROVED
Austrian Bundesliga,over35,1369,0.3031,0.60686,0.61233,0.00547,-0.00069,0.01171,0.20861,0.21069,0.5699,False,UNCLEAR
League Two,over35,3010,0.2641,0.56639,0.57162,0.00523,0.00131,0.00911,0.19023,0.19226,0.5949,True,IMPROVED
Championship,over35,2865,0.2489,0.5519,0.55615,0.00425,0.00032,0.00811,0.18345,0.18504,0.5806,True,IMPROVED
Japan J-League,over35,1802,0.2558,0.563,0.56618,0.00318,-0.00194,0.00822,0.18832,0.18937,0.566,False,UNCLEAR
Sweden Allsvenskan,over35,1996,0.3071,0.60985,0.61266,0.00281,-0.00193,0.00727,0.20977,0.21089,0.5635,False,UNCLEAR
Dutch Eredivisie,over35,1136,0.3908,0.66096,0.66238,0.00142,-0.00487,0.00835,0.23416,0.23466,0.5677,False,UNCLEAR
National League,over35,2314,0.3124,0.61715,0.6183,0.00115,-0.00227,0.00438,0.21315,0.21365,0.5581,False,UNCLEAR
Ligue 2,over35,1424,0.2549,0.56648,0.56725,0.00077,-0.00331,0.00476,0.18908,0.18967,0.5395,False,UNCLEAR
Saudi Pro League,over35,1221,0.3432,0.63433,0.63509,0.00077,-0.00447,0.00598,0.22131,0.22177,0.5761,False,UNCLEAR
Belgian First Division A,over35,1286,0.3173,0.62388,0.6241,0.00021,-0.00413,0.00465,0.21623,0.21629,0.5428,False,UNCLEAR
Serie B,over35,1638,0.2381,0.54861,0.54863,3e-05,-0.0035,0.00358,0.18121,0.18138,0.5342,False,UNCLEAR
Brazil Serie A,over35,2353,0.2227,0.53099,0.53088,-0.0001,-0.00454,0.00437,0.17368,0.17353,0.5321,False,UNCLEAR
K-League 1,over35,966,0.2598,0.57374,0.57343,-0.00031,-0.00504,0.00459,0.19275,0.19267,0.5269,False,UNCLEAR
Turkish Super Lig,over35,1394,0.3221,0.61726,0.61685,-0.00041,-0.00468,0.00367,0.21349,0.21313,0.5932,False,UNCLEAR
Scottish League Two,over35,703,0.2916,0.60407,0.60284,-0.00123,-0.00616,0.00354,0.20662,0.20629,0.5321,False,UNCLEAR
Romanian Superliga,over35,1331,0.2479,0.55753,0.55502,-0.0025,-0.00669,0.00161,0.1856,0.18459,0.5557,False,UNCLEAR
Scottish Championship,over35,750,0.2627,0.58008,0.57631,-0.00377,-0.00988,0.00232,0.19527,0.19385,0.5069,False,UNCLEAR
Scottish Premiership,over35,948,0.3228,0.62527,0.62119,-0.00407,-0.00952,0.00141,0.21684,0.21493,0.5561,False,UNCLEAR
