variant,month,target,n_train,n_test,prevalence,log_loss,brier,auc,pr_auc,ece,baseline_log_loss,baseline_pr_auc,margin_vs_baseline_ll,interpretable
canonical,2023-04,scored,37706,7566,0.0845,0.25895,0.07223,0.7456,0.2145,0.00706,0.26552,0.1599,0.00657,True
canonical,2023-05,scored,45272,6580,0.086,0.25991,0.07294,0.7505,0.2345,0.00682,0.27012,0.1614,0.01021,True
canonical,2023-06,scored,51852,943,0.088,0.2551,0.07134,0.7778,0.3039,0.01554,0.26815,0.1839,0.01305,True
canonical,2023-08,scored,52795,3296,0.0928,0.28047,0.07887,0.7249,0.2391,0.01326,0.28454,0.169,0.00407,True
canonical,2023-09,scored,56091,5532,0.0866,0.25712,0.07277,0.7695,0.2481,0.01032,0.26982,0.1596,0.01269,True
canonical,2023-10,scored,61623,4866,0.083,0.25532,0.07093,0.7454,0.2215,0.00656,0.26196,0.1512,0.00665,True
canonical,2023-11,scored,66489,4135,0.0849,0.25987,0.07229,0.7395,0.2253,0.00282,0.26707,0.1668,0.0072,True
canonical,2023-12,scored,70624,6636,0.0803,0.25063,0.06909,0.7394,0.213,0.00649,0.25831,0.1385,0.00768,True
canonical,2024-01,scored,77260,3967,0.0834,0.25294,0.07045,0.7548,0.2347,0.00464,0.2608,0.1529,0.00786,True
canonical,2024-02,scored,81227,5773,0.0896,0.26842,0.07486,0.7361,0.2563,0.00436,0.27948,0.1645,0.01106,True
canonical,2024-03,scored,87000,5272,0.0816,0.25156,0.06989,0.7485,0.2141,0.00878,0.25903,0.1526,0.00747,True
canonical,2024-04,scored,92272,5892,0.0881,0.26283,0.07386,0.7511,0.2462,0.00533,0.27497,0.1615,0.01215,True
canonical,2024-05,scored,98164,5273,0.0905,0.26911,0.07581,0.7457,0.2399,0.0046,0.27867,0.169,0.00957,True
canonical,2024-08,scored,103496,6304,0.0823,0.25561,0.07127,0.7394,0.1897,0.00435,0.26256,0.1486,0.00695,True
canonical,2024-09,scored,109800,8228,0.0859,0.26402,0.07354,0.732,0.2113,0.0057,0.27103,0.1584,0.00702,True
canonical,2024-10,scored,118028,8847,0.0853,0.26139,0.07258,0.7349,0.2266,0.00525,0.26994,0.1526,0.00855,True
canonical,2024-11,scored,126875,8872,0.0791,0.24821,0.06827,0.7392,0.204,0.00617,0.25741,0.1355,0.0092,True
canonical,2024-12,scored,135747,10632,0.0869,0.26207,0.07367,0.7495,0.2229,0.00428,0.27446,0.1558,0.01239,True
canonical,2025-01,scored,146379,9487,0.0849,0.25692,0.07171,0.7493,0.2298,0.0015,0.26854,0.1506,0.01162,True
canonical,2025-02,scored,155866,10505,0.078,0.24425,0.06728,0.746,0.2062,0.00648,0.2556,0.1338,0.01134,True
canonical,2025-03,scored,166371,10002,0.0757,0.24039,0.06568,0.7415,0.1977,0.00829,0.24936,0.1382,0.00897,True
canonical,2025-04,scored,176373,11989,0.0801,0.2522,0.06939,0.731,0.1925,0.00488,0.26239,0.1325,0.01019,True
canonical,2025-05,scored,188362,8234,0.0876,0.26349,0.07394,0.7479,0.2296,0.00592,0.27572,0.1496,0.01223,True
canonical,2025-06,scored,196596,808,0.073,0.23812,0.06461,0.727,0.1615,0.01441,0.24429,0.1394,0.00616,True
canonical,2025-07,scored,197404,1725,0.0765,0.20314,0.06264,0.8936,0.3162,0.03862,0.24013,0.1792,0.03699,True
canonical,2025-08,scored,199129,12402,0.076,0.22229,0.06396,0.8088,0.2282,0.01442,0.24977,0.1353,0.02748,True
canonical,2025-09,scored,211531,10537,0.0766,0.22895,0.06471,0.7867,0.2256,0.00572,0.24928,0.1383,0.02032,True
canonical,2025-10,scored,222068,13933,0.0721,0.20536,0.05932,0.8304,0.267,0.00887,0.24046,0.1296,0.03509,True
canonical,2025-11,scored,236001,15369,0.0753,0.20923,0.06046,0.8322,0.3016,0.0069,0.24979,0.1301,0.04056,True
canonical,2025-12,scored,251370,12752,0.074,0.2077,0.05906,0.827,0.3169,0.00447,0.24447,0.1284,0.03677,True
canonical,2026-01,scored,264122,14504,0.0781,0.2189,0.06219,0.8156,0.3213,0.00501,0.25677,0.1337,0.03787,True
canonical,2026-02,scored,278626,12798,0.0804,0.22873,0.06517,0.8029,0.292,0.00456,0.26043,0.1354,0.0317,True
canonical,2026-03,scored,291424,12945,0.0762,0.23058,0.06537,0.7857,0.2297,0.01083,0.25179,0.1328,0.02121,True
canonical,2026-04,scored,304369,13110,0.0799,0.2379,0.06666,0.7763,0.2546,0.00392,0.25967,0.1435,0.02177,True
canonical,2026-05,scored,317479,9498,0.0823,0.24681,0.06925,0.7694,0.2366,0.008,0.25999,0.1477,0.01318,True
canonical,2026-06,scored,326977,3708,0.0804,0.26392,0.07437,0.7312,0.1743,0.02951,0.25698,0.1405,-0.00694,True
canonical,2026-07,scored,330685,1260,0.0746,0.2309,0.06381,0.7862,0.2412,0.02409,0.24552,0.1293,0.01462,True
canonical,2026-08,scored,331945,5914,0.0884,0.27039,0.07589,0.7307,0.2113,0.01068,0.27781,0.1619,0.00742,True
canonical,2026-09,scored,337859,9217,0.0872,0.26828,0.07557,0.7357,0.1922,0.00592,0.27319,0.165,0.00491,True
frozen,2023-02,scored,27348,5983,0.0784,0.24552,0.06782,0.7502,0.2076,0.00983,0.2507,0.1609,0.00518,True
frozen,2023-03,scored,33331,4375,0.077,0.24083,0.066,0.7503,0.2135,0.00796,0.24767,0.1464,0.00684,True
frozen,2023-04,scored,37706,7566,0.0845,0.26089,0.07255,0.7383,0.2115,0.00825,0.26552,0.1599,0.00463,True
frozen,2023-05,scored,45272,6580,0.086,0.25993,0.07253,0.748,0.2381,0.00633,0.27012,0.1614,0.01019,True
frozen,2023-06,scored,51852,943,0.088,0.26173,0.07252,0.7536,0.2816,0.00821,0.26815,0.1839,0.00642,True
frozen,2023-08,scored,52795,3296,0.0928,0.28442,0.08009,0.7203,0.2226,0.01846,0.28454,0.169,0.00012,True
frozen,2023-09,scored,56091,5532,0.0866,0.26147,0.07304,0.7482,0.2396,0.00631,0.26982,0.1596,0.00834,True
frozen,2023-10,scored,61623,4866,0.083,0.25917,0.07132,0.7291,0.2167,0.00771,0.26196,0.1512,0.00279,True
frozen,2023-11,scored,66489,4135,0.0849,0.26795,0.07346,0.711,0.2075,0.01365,0.26707,0.1668,-0.00088,True
frozen,2023-12,scored,70624,6636,0.0803,0.25598,0.0699,0.7199,0.2006,0.00883,0.25831,0.1385,0.00233,True
frozen,2024-01,scored,77260,3967,0.0834,0.25731,0.07114,0.7409,0.2219,0.00765,0.2608,0.1529,0.00348,True
frozen,2024-02,scored,81227,5773,0.0896,0.27326,0.07543,0.7233,0.2472,0.01143,0.27948,0.1645,0.00622,True
frozen,2024-03,scored,87000,5272,0.0816,0.25824,0.07045,0.7193,0.2076,0.01313,0.25903,0.1526,0.00079,True
frozen,2024-04,scored,92272,5892,0.0881,0.2729,0.07536,0.7185,0.2176,0.01067,0.27497,0.1615,0.00207,True
frozen,2024-05,scored,98164,5273,0.0905,0.27931,0.07712,0.7117,0.2211,0.01453,0.27867,0.169,-0.00064,True
frozen,2024-08,scored,103496,6304,0.0823,0.26647,0.07352,0.7071,0.1737,0.02102,0.26256,0.1486,-0.00391,True
frozen,2024-09,scored,109800,8228,0.0859,0.27211,0.07489,0.7063,0.1985,0.012,0.27103,0.1584,-0.00107,True
frozen,2024-10,scored,118028,8847,0.0853,0.26825,0.07361,0.7098,0.212,0.01009,0.26994,0.1526,0.00169,True
frozen,2024-11,scored,126875,8872,0.0791,0.25462,0.06927,0.7138,0.1898,0.00956,0.25741,0.1355,0.00279,True
frozen,2024-12,scored,135747,10632,0.0869,0.27212,0.07523,0.7161,0.1959,0.01191,0.27446,0.1558,0.00234,True
frozen,2025-01,scored,146379,9487,0.0849,0.2649,0.07297,0.7233,0.2076,0.01023,0.26854,0.1506,0.00364,True
frozen,2025-02,scored,155866,10505,0.078,0.25156,0.06825,0.7176,0.1909,0.01283,0.2556,0.1338,0.00404,True
frozen,2025-03,scored,166371,10002,0.0757,0.24796,0.06653,0.7073,0.1847,0.00929,0.24936,0.1382,0.0014,True
frozen,2025-04,scored,176373,11989,0.0801,0.25977,0.07035,0.7039,0.1814,0.01238,0.26239,0.1325,0.00261,True
frozen,2025-05,scored,188362,8234,0.0876,0.27483,0.07541,0.7098,0.2153,0.01571,0.27572,0.1496,0.00089,True
frozen,2025-06,scored,196596,808,0.073,0.24868,0.06719,0.706,0.1482,0.03058,0.24429,0.1394,-0.0044,True
frozen,2025-07,scored,197404,1725,0.0765,0.19928,0.06049,0.8863,0.34,0.03001,0.24013,0.1792,0.04085,True
frozen,2025-08,scored,199129,12402,0.076,0.22725,0.06451,0.7988,0.2209,0.01626,0.24977,0.1353,0.02253,True
