variant,baseline,target,mean_diff,ci_lo,ci_hi,p_value,significant,direction
Q_MARKET_complete_only,Q_STANDARD_complete_only,btts,-0.0022175537880703617,-0.0042678777206817155,-0.00019961557443523182,0.077,True,baseline better
Q_MARKET_complete_only,Q_STANDARD_complete_only,over15,-0.002532887579293691,-0.0043942140429935675,-0.000643087893199042,0.0255,True,baseline better
Q_MARKET_complete_only,Q_STANDARD_complete_only,over25,-0.0016502152771461023,-0.0037590803559283455,0.0005632054483131346,0.2125,False,baseline better
Q_MARKET_complete_only,Q_STANDARD_complete_only,over35,-0.0010631396502929187,-0.002996018678109494,0.0009582793874295315,0.3745,False,baseline better
Q_STANDARD_PLUS_complete_only,Q_STANDARD_complete_only,btts,0.0011188244200423514,-0.0007836072602712931,0.0029076304552080657,0.3065,False,variant better
Q_STANDARD_PLUS_complete_only,Q_STANDARD_complete_only,over15,-0.0018382044312073725,-0.003161462448134439,-0.00043825780936067717,0.0295,True,baseline better
Q_STANDARD_PLUS_complete_only,Q_STANDARD_complete_only,over25,-0.0006921327192410347,-0.0022427940334724884,0.0009561041179580795,0.4855,False,baseline better
Q_STANDARD_PLUS_complete_only,Q_STANDARD_complete_only,over35,-0.0014170655715644253,-0.003041047091761071,0.00017454947410837222,0.149,False,baseline better
