variant,baseline,target,mean_diff,ci_lo,ci_hi,p_value,significant,direction
X_dupes_removed,X_dupes_as_v9_does,btts,0.0004573727961816778,-0.0007177086309141591,0.0017554615230204829,0.5475,False,variant better
X_dupes_removed,X_dupes_as_v9_does,over15,-0.0005881479670816894,-0.0016119932643767442,0.00043872050190028704,0.3465,False,baseline better
X_dupes_removed,X_dupes_as_v9_does,over25,0.0006870996114003271,-0.00034407961242236684,0.0017346798556722443,0.292,False,variant better
X_dupes_removed,X_dupes_as_v9_does,over35,-0.0012540476039823159,-0.002450298900648958,-4.9840409545280234e-05,0.0845,True,baseline better
X_dupes_as_weights,X_dupes_as_v9_does,btts,0.0,0.0,0.0,1.0,False,baseline better
X_dupes_as_weights,X_dupes_as_v9_does,over15,0.0,0.0,0.0,1.0,False,baseline better
X_dupes_as_weights,X_dupes_as_v9_does,over25,0.0,0.0,0.0,1.0,False,baseline better
X_dupes_as_weights,X_dupes_as_v9_does,over35,0.0,0.0,0.0,1.0,False,baseline better
